Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  41.609 (49);  44.084 (51);  85.693
10-19;  67.436 (50);  66.771 (50); 134.207
20-29;  74.427 (50);  74.245 (50); 148.672
30-39;  57.759 (51);  54.665 (49); 112.424
40-49;  60.118 (52);  55.602 (48); 115.720
50-59;  47.919 (50);  48.745 (50);  96.664
60-69;  24.955 (49);  26.338 (51);  51.293
70-79;  14.395 (50);  14.515 (50);  28.910
80-89;   6.069 (55);   4.951 (45);  11.020
90+;   1.902 (69);     866 (31);   2.768
I alt; 396.589 (50); 390.782 (50); 787.371
