Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     253 (49);     263 (51);     516
10-19;     585 (54);     508 (46);   1.093
20-29;   1.438 (58);   1.035 (42);   2.473
30-39;   1.298 (56);   1.019 (44);   2.317
40-49;   1.526 (58);   1.122 (42);   2.648
50-59;   1.549 (57);   1.175 (43);   2.724
60-69;     790 (48);     855 (52);   1.645
70-79;     550 (46);     637 (54);   1.187
80-89;     492 (57);     372 (43);     864
90+;     198 (73);      75 (27);     273
I alt;   8.679 (55);   7.061 (45);  15.740
