Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.583.279; 135.180;   7.576;   1.337
Sjælland; 663.472;  38.671;   2.610;     405
Syddanmark; 989.789;  40.320;   1.843;     222
Midtjylland;1.080.727;  50.236;   2.259;     357
Nordjylland; 503.051;  20.980;     986;     187
