Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     223 (52);     210 (48);     433
10-19;     460 (55);     383 (45);     843
20-29;   1.274 (59);     879 (41);   2.153
30-39;   1.221 (58);     900 (42);   2.121
40-49;   1.447 (58);   1.043 (42);   2.490
50-59;   1.470 (58);   1.069 (42);   2.539
60-69;     773 (49);     801 (51);   1.574
70-79;     538 (46);     622 (54);   1.160
80-89;     489 (57);     369 (43);     858
90+;     196 (72);      75 (28);     271
I alt;   8.091 (56);   6.351 (44);  14.442
