Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.547.400; 119.726;   7.094;   1.328
Sjælland; 645.553;  34.272;   2.451;     402
Syddanmark; 964.050;  36.198;   1.724;     219
Midtjylland;1.051.784;  43.682;   2.090;     352
Nordjylland; 493.367;  17.170;     896;     185
I alt i Danmark;4.702.154; 251.048;  14.255;   2.486
