Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   9.099 (48);   9.820 (52);  18.919
10-19;  19.303 (49);  20.346 (51);  39.649
20-29;  24.238 (51);  23.401 (49);  47.639
30-39;  17.913 (51);  17.373 (49);  35.286
40-49;  19.665 (53);  17.564 (47);  37.229
50-59;  18.390 (51);  17.593 (49);  35.983
60-69;   9.417 (48);  10.000 (52);  19.417
70-79;   5.794 (49);   5.940 (51);  11.734
80-89;   3.442 (58);   2.519 (42);   5.961
90+;   1.309 (71);     547 (29);   1.856
I alt; 128.570 (51); 125.103 (49); 253.673
