"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
København;458933;427842;71.7;66.8;640322
Frederiksberg;79509;75207;77.0;72.9;103208
Ballerup;35673;33776;72.6;68.7;49155
Brøndby;23393;22200;66.0;62.6;35463
Dragør;11083;10565;75.9;72.4;14597
Gentofte;56231;53473;75.7;72.0;74298
Gladsaxe;49980;47165;72.4;68.4;68986
Glostrup;16731;15869;71.1;67.4;23536
Herlev;20589;19384;71.5;67.3;28809
Albertslund;18361;17197;67.2;62.9;27336
Hvidovre;37546;35637;70.6;67.0;53198
Høje Tåstrup;35354;33417;67.2;63.5;52595
Lyngby-Taarbæk;43827;41442;76.7;72.5;57155
Rødovre;28853;27292;70.0;66.3;41190
Ishøj;14301;13404;62.2;58.3;23003
Tårnby;31029;29359;72.8;68.9;42632
Vallensbæk;11298;10733;68.3;64.9;16536
Furesø;30756;29181;74.4;70.6;41329
Allerød;20081;19297;77.5;74.5;25895
Fredensborg;30521;29227;74.3;71.2;41076
Helsingør;47640;45601;75.4;72.2;63159
Hillerød;39699;38143;75.7;72.8;52417
Hørsholm;19495;18690;78.7;75.4;24776
Rudersdal;44107;41762;77.1;73.0;57231
Egedal;33514;31849;76.0;72.2;44124
Frederikssund;35592;33934;77.7;74.1;45817
Greve;36735;35102;72.6;69.3;50631
Køge;46070;44146;74.7;71.6;61639
Halsnæs;24138;23282;76.6;73.9;31495
Roskilde;68383;64901;76.8;72.9;89074
Solrød;17558;16846;74.4;71.4;23587
Gribskov;31794;30688;77.0;74.3;41288
Odsherred;25852;24938;78.4;75.6;32982
Holbæk;55356;52803;76.2;72.7;72671
Faxe;27809;26888;75.0;72.6;37054
Kalundborg;36667;35106;75.7;72.5;48429
Ringsted;25548;24432;72.8;69.6;35109
Slagelse;59139;56355;74.3;70.8;79546
Stevns;17815;17200;76.5;73.8;23298
Sorø;22919;21963;76.4;73.2;29999
Lejre;21681;20779;75.8;72.7;28596
Lolland;30405;29327;75.5;72.8;40279
Næstved;63115;60491;75.5;72.3;83614
Guldborgsund;46125;44362;76.4;73.5;60377
Vordingborg;34735;33351;76.5;73.5;45376
Bornholm;31618;30502;79.5;76.7;39766
Middelfart;30732;29448;77.9;74.7;39445
Assens;32047;30076;78.3;73.5;40915
Faaborg-Midtfyn;40242;38294;77.6;73.9;51846
Kerteminde;18847;18026;78.6;75.2;23982
Nyborg;25153;23761;78.3;74.0;32122
Odense;156305;147119;76.2;71.8;205037
Svendborg;45827;43994;77.6;74.5;59049
Nordfyn;22669;21640;76.4;73.0;29663
Langeland;9875;9397;80.0;76.1;12344
Ærø;4984;4810;82.8;79.9;6020
Haderslev;41345;38429;74.7;69.5;55329
Billund;20150;19102;75.8;71.8;26586
Sønderborg;56571;54073;76.9;73.5;73609
Tønder;27539;25619;74.5;69.3;36944
Esbjerg;87144;80977;75.5;70.2;115402
Fanø;2761;2644;80.2;76.8;3443
Varde;37501;35581;75.5;71.6;49703
Vejen;31488;30122;73.7;70.5;42744
Aabenraa;43086;41231;73.7;70.5;58498
Fredericia;38801;36996;75.3;71.8;51528
Horsens;68733;65367;73.6;70.0;93357
Kolding;69075;64991;74.1;69.7;93200
Vejle;87795;81980;74.3;69.4;118195
Herning;67468;63293;75.6;71.0;89186
Holstebro;44711;41900;76.3;71.5;58565
Lemvig;15279;14611;78.8;75.3;19401
Struer;16297;15350;78.4;73.9;20784
Syddjurs;33940;32081;78.0;73.7;43523
Norddjurs;28917;27514;78.1;74.3;37010
Favrskov;37137;35098;76.2;72.0;48732
Odder;18271;17560;78.8;75.7;23199
Randers;74906;70644;76.0;71.6;98615
Silkeborg;72627;68483;75.1;70.8;96666
Samsø;3034;2943;81.3;78.9;3730
Skanderborg;48283;45937;75.5;71.8;63969
Århus;269397;250886;76.1;70.8;354201
Ikast-Brande;30945;29228;73.9;69.8;41882
Ringkøbing-Skjern;42684;40328;76.0;71.8;56191
Hedensted;35906;34468;76.3;73.2;47064
Morsø;15693;15209;78.3;75.9;20046
Skive;35464;34134;78.6;75.7;45113
Thisted;33339;32278;77.3;74.8;43151
Viborg;74189;70863;76.6;73.2;96850
Brønderslev;27543;25918;76.1;71.6;36179
Frederikshavn;46380;44695;78.7;75.8;58962
Vesthimmerland;27602;26409;75.8;72.6;36398
Læsø;1461;1423;81.7;79.5;1789
Rebild;22968;21577;75.1;70.5;30594
Mariagerfjord;32358;31030;77.9;74.7;41564
Jammerbugt;29286;27818;76.8;72.9;38146
Aalborg;170065;161523;77.1;73.2;220540
Hjørring;49935;47803;78.2;74.8;63891
