"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;456630;435683;591260
Midtjylland;1018188;960688;1338038
Syddanmark;929937;878310;1225604
Hovedstaden;1361646;1286118;1860392
Sjælland;635912;608990;842261
