"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
Nordjylland;456630;435683;77.2;73.7;591260
Midtjylland;1018188;960688;76.1;71.8;1338038
Syddanmark;929937;878310;75.9;71.7;1225604
Hovedstaden;1361646;1286118;73.2;69.1;1860392
Sjælland;635912;608990;75.5;72.3;842261
