"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
00-02;K;8;2;90801;0.0;0.0
00-02;M;1;0;95773;0.0;0.0
03-05;K;9128;5609;92057;9.9;6.1
03-05;M;9959;6131;97321;10.2;6.3
06-11;K;91443;68392;180460;50.7;37.9
06-11;M;96522;72273;189738;50.9;38.1
12-15;K;119853;116033;145355;82.5;79.8
12-15;M;125890;121769;153076;82.2;79.5
16-19;K;124286;122560;137141;90.6;89.4
16-19;M;127064;124631;142313;89.3;87.6
20-39;K;623284;610259;732644;85.1;83.3
20-39;M;627425;612688;761954;82.3;80.4
40-64;K;891387;886152;952510;93.6;93.0
40-64;M;882646;877193;954552;92.5;91.9
65-79;K;449856;448954;463428;97.1;96.9
65-79;M;412732;411890;424703;97.2;97.0
80+;K;151376;150881;156547;96.7;96.4
80+;M;101554;101305;104275;97.4;97.2
