"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;62432;43947;299660;20.8;14.7
0-9;M;66619;46896;316378;21.1;14.8
10-19;K;282286;268649;346154;81.5;77.6
10-19;M;292817;277908;361843;80.9;76.8
20-29;K;321415;314360;381150;84.3;82.5
20-29;M;327498;318894;398122;82.3;80.1
30-39;K;301869;295899;351494;85.9;84.2
30-39;M;299927;293794;363832;82.4;80.7
40-49;K;344884;341993;374934;92.0;91.2
40-49;M;337150;334108;375839;89.7;88.9
50-59;K;378310;376518;401576;94.2;93.8
50-59;M;379396;377574;405023;93.7;93.2
60-69;K;325758;324831;339272;96.0;95.7
60-69;M;316806;315834;329686;96.1;95.8
70-79;K;292291;291764;300156;97.4;97.2
70-79;M;262026;261567;268707;97.5;97.3
80-89;K;126826;126482;130680;97.1;96.8
80-89;M;91718;91515;94058;97.5;97.3
90+;K;24550;24399;25867;94.9;94.3
90+;M;9836;9790;10217;96.3;95.8
