"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;60657;42497;297885;20.4;14.3
0-9;M;64714;45340;314473;20.6;14.4
10-19;K;265913;252070;329781;80.6;76.4
10-19;M;277278;262216;346304;80.1;75.7
20-29;K;322653;315647;382388;84.4;82.5
20-29;M;328311;319712;398935;82.3;80.1
30-39;K;300882;294826;350507;85.8;84.1
30-39;M;300694;294452;364599;82.5;80.8
40-49;K;337606;334707;367656;91.8;91.0
40-49;M;329260;326189;367949;89.5;88.7
50-59;K;377860;376044;401126;94.2;93.7
50-59;M;379430;377578;405057;93.7;93.2
60-69;K;328955;328009;342469;96.1;95.8
60-69;M;319249;318255;332129;96.1;95.8
70-79;K;297773;297226;305638;97.4;97.2
70-79;M;269103;268638;275784;97.6;97.4
80-89;K;137709;137363;141563;97.3;97.0
80-89;M;102701;102498;105041;97.8;97.6
90+;K;30613;30453;31930;95.9;95.4
90+;M;13053;13002;13434;97.2;96.8
