"Regionsnavn";"Aldersgruppe";"sex";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;0-9;K;18254;12123
Hovedstaden;0-9;M;19343;12788
Hovedstaden;10-19;K;80982;76029
Hovedstaden;10-19;M;83584;78181
Hovedstaden;20-29;K;122441;119773
Hovedstaden;20-29;M;115850;112759
Hovedstaden;30-39;K;110875;108541
Hovedstaden;30-39;M;108207;105948
Hovedstaden;40-49;K;112724;111541
Hovedstaden;40-49;M;109515;108368
Hovedstaden;50-59;K;113277;112617
Hovedstaden;50-59;M;112463;111767
Hovedstaden;60-69;K;89029;88709
Hovedstaden;60-69;M;84405;84050
Hovedstaden;70-79;K;82197;82001
Hovedstaden;70-79;M;68320;68184
Hovedstaden;80-89;K;36017;35899
Hovedstaden;80-89;M;23592;23527
Hovedstaden;90+;K;7330;7280
Hovedstaden;90+;M;2568;2557
Midtjylland;0-9;K;16129;11722
Midtjylland;0-9;M;17237;12500
Midtjylland;10-19;K;69621;66781
Midtjylland;10-19;M;71636;68559
Midtjylland;20-29;K;79902;78412
Midtjylland;20-29;M;81634;79777
Midtjylland;30-39;K;68299;67119
Midtjylland;30-39;M;69110;67913
Midtjylland;40-49;K;77835;77342
Midtjylland;40-49;M;76923;76361
Midtjylland;50-59;K;84513;84204
Midtjylland;50-59;M;84964;84650
Midtjylland;60-69;K;74448;74278
Midtjylland;60-69;M;72922;72759
Midtjylland;70-79;K;63842;63768
Midtjylland;70-79;M;59030;58949
Midtjylland;80-89;K;27475;27406
Midtjylland;80-89;M;20690;20653
Midtjylland;90+;K;5316;5292
Midtjylland;90+;M;2280;2268
Nordjylland;0-9;K;6554;4550
Nordjylland;0-9;M;6852;4750
Nordjylland;10-19;K;28831;27516
Nordjylland;10-19;M;30259;28755
Nordjylland;20-29;K;31545;30838
Nordjylland;20-29;M;35378;34432
Nordjylland;30-39;K;27898;27363
Nordjylland;30-39;M;28854;28214
Nordjylland;40-49;K;32453;32222
Nordjylland;40-49;M;32614;32341
Nordjylland;50-59;K;38480;38301
Nordjylland;50-59;M;38918;38742
Nordjylland;60-69;K;35832;35738
Nordjylland;60-69;M;35331;35230
Nordjylland;70-79;K;31650;31596
Nordjylland;70-79;M;29757;29702
Nordjylland;80-89;K;13958;13927
Nordjylland;80-89;M;10620;10594
Nordjylland;90+;K;2679;2666
Nordjylland;90+;M;1188;1182
Sjælland;0-9;K;8049;5696
Sjælland;0-9;M;8736;6170
Sjælland;10-19;K;40865;38954
Sjælland;10-19;M;43321;41239
Sjælland;20-29;K;30287;29439
Sjælland;20-29;M;33057;32045
Sjælland;30-39;K;37354;36531
Sjælland;30-39;M;36169;35357
Sjælland;40-49;K;50631;50193
Sjælland;40-49;M;48486;48047
Sjælland;50-59;K;60015;59725
Sjælland;50-59;M;60207;59941
Sjælland;60-69;K;52856;52697
Sjælland;60-69;M;51406;51245
Sjælland;70-79;K;49384;49286
Sjælland;70-79;M;44855;44778
Sjælland;80-89;K;19817;19755
Sjælland;80-89;M;14847;14819
Sjælland;90+;K;3502;3478
Sjælland;90+;M;1445;1438
Syddanmark;0-9;K;13446;9856
Syddanmark;0-9;M;14451;10688
Syddanmark;10-19;K;61987;59369
Syddanmark;10-19;M;64017;61174
Syddanmark;20-29;K;57240;55898
Syddanmark;20-29;M;61579;59881
Syddanmark;30-39;K;57443;56345
Syddanmark;30-39;M;57587;56362
Syddanmark;40-49;K;71241;70695
Syddanmark;40-49;M;69612;68991
Syddanmark;50-59;K;82025;81671
Syddanmark;50-59;M;82844;82474
Syddanmark;60-69;K;73593;73409
Syddanmark;60-69;M;72742;72550
Syddanmark;70-79;K;65218;65113
Syddanmark;70-79;M;60064;59954
Syddanmark;80-89;K;29559;29495
Syddanmark;80-89;M;21969;21922
Syddanmark;90+;K;5723;5683
Syddanmark;90+;M;2355;2345
