"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-01-27;Hovedstaden;K;773126;754513;554552;773077;754161;552881;49;352;1671
2022-01-27;Hovedstaden;M;727847;708129;510391;727808;707783;508674;39;346;1717
2022-01-27;Midtjylland;K;567380;556324;423409;567323;556048;422152;57;276;1257
2022-01-27;Midtjylland;M;556426;544389;402957;556389;544105;401618;37;284;1339
2022-01-27;Nordjylland;K;249880;244717;188500;249856;244634;188071;24;83;429
2022-01-27;Nordjylland;M;249771;243942;180804;249762;243873;180249;9;69;555
2022-01-27;Sjælland;K;352760;345754;267252;352720;345570;266377;40;184;875
2022-01-27;Sjælland;M;342529;335079;250516;342488;334890;249593;41;189;923
2022-01-27;Syddanmark;K;517475;507534;388272;517435;507271;387177;40;263;1095
2022-01-27;Syddanmark;M;507220;496341;367000;507153;496076;365789;67;265;1211
