"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;499651;488659;591759
Midtjylland;1123806;1100713;1342383
Syddanmark;1024695;1003875;1228450
Hovedstaden;1500973;1462642;1868577
Sjælland;695289;680833;843479
