"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
00-02;K;7;2;90800;0.0;0.0
00-02;M;1;0;95773;0.0;0.0
03-05;K;8214;4966;91143;9.0;5.4
03-05;M;8978;5438;96340;9.3;5.6
06-11;K;89926;67001;178943;50.3;37.4
06-11;M;94898;70727;188114;50.4;37.6
12-15;K;107163;103041;132665;80.8;77.7
12-15;M;113015;108652;140201;80.6;77.5
16-19;K;121260;119557;134115;90.4;89.1
16-19;M;125100;122739;140349;89.1;87.5
20-39;K;623535;610473;732895;85.1;83.3
20-39;M;629005;614164;763534;82.4;80.4
40-64;K;885013;879743;946136;93.5;93.0
40-64;M;875605;870084;947511;92.4;91.8
65-79;K;457181;456243;470753;97.1;96.9
65-79;M;421437;420576;433408;97.2;97.0
80+;K;168322;167816;173493;97.0;96.7
80+;M;115754;115500;118475;97.7;97.5
