Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  43.255 (49);  45.838 (51);  89.093
10-19;  70.173 (50);  69.298 (50); 139.471
20-29;  78.059 (50);  77.770 (50); 155.829
30-39;  60.652 (51);  57.491 (49); 118.143
40-49;  62.710 (52);  58.005 (48); 120.715
50-59;  50.274 (50);  50.952 (50); 101.226
60-69;  26.173 (49);  27.544 (51);  53.717
70-79;  15.114 (50);  15.218 (50);  30.332
80-89;   6.404 (55);   5.208 (45);  11.612
90+;   1.978 (68);     910 (32);   2.888
I alt; 414.792 (50); 408.234 (50); 823.026
