Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 151.179 (49); 160.034 (51); 311.213
10-19; 229.799 (50); 229.736 (50); 459.535
20-29; 205.982 (52); 186.666 (48); 392.648
30-39; 203.190 (53); 178.095 (47); 381.285
40-49; 196.980 (53); 172.765 (47); 369.745
50-59; 147.922 (52); 137.779 (48); 285.701
60-69;  82.870 (51);  78.507 (49); 161.377
70-79;  42.873 (50);  43.457 (50);  86.330
80-89;  15.864 (54);  13.591 (46);  29.455
90+;   4.966 (69);   2.194 (31);   7.160
I alt;1.281.643 (52);1.202.848 (48);2.484.492
