"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16856,0
AstraZeneca Covid-19 vaccine,Midtjylland,33498,0
AstraZeneca Covid-19 vaccine,Syddanmark,30393,246
AstraZeneca Covid-19 vaccine,Hovedstaden,44904,5
AstraZeneca Covid-19 vaccine,Sjælland,23827,328
Moderna Covid-19 Vaccine,Nordjylland,4162,3054
Moderna Covid-19 Vaccine,Midtjylland,4413,808
Moderna Covid-19 Vaccine,Syddanmark,6182,3812
Moderna Covid-19 Vaccine,Hovedstaden,5599,1914
Moderna Covid-19 Vaccine,Sjælland,3460,764
Pfizer BioNTech Covid-19 vacc,Nordjylland,40788,20621
Pfizer BioNTech Covid-19 vacc,Midtjylland,90815,56054
Pfizer BioNTech Covid-19 vacc,Syddanmark,89488,40893
Pfizer BioNTech Covid-19 vacc,Hovedstaden,125540,66817
Pfizer BioNTech Covid-19 vacc,Sjælland,56972,37250
