"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,61806,23675,590447
Midtjylland,128726,56862,1332908
Syddanmark,126063,44951,1223867
Hovedstaden,176043,68736,1855878
Sjælland,84259,38342,839170
