"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-03-12,Hovedstaden,K,116532,46765,116086,44232,446,2533
2021-03-12,Hovedstaden,M,59511,21971,59268,20231,243,1740
2021-03-12,Midtjylland,K,88469,40018,87839,39216,630,802
2021-03-12,Midtjylland,M,40257,16844,39853,16335,404,509
2021-03-12,Nordjylland,K,42360,17017,41835,16612,525,405
2021-03-12,Nordjylland,M,19446,6658,18985,6249,461,409
2021-03-12,Sjælland,K,56513,26094,56071,25402,442,692
2021-03-12,Sjælland,M,27746,12248,27388,11779,358,469
2021-03-12,Syddanmark,K,84032,31826,83313,31538,719,288
2021-03-12,Syddanmark,M,42031,13125,41402,12996,629,129
