"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,61806,23675,10.5,4.0,590447
Midtjylland,128726,56862,9.7,4.3,1332908
Syddanmark,126063,44951,10.3,3.7,1223867
Hovedstaden,176043,68736,9.5,3.7,1855878
Sjælland,84259,38342,10.0,4.6,839170
