"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;40759;13;298181;13.7;0.0
0-9;M;43624;14;314864;13.9;0.0
10-19;K;269333;228475;345009;78.1;66.2
10-19;M;279106;235555;360624;77.4;65.3
20-29;K;316439;304254;381675;82.9;79.7
20-29;M;322588;308920;398412;81.0;77.5
30-39;K;298072;287235;351038;84.9;81.8
30-39;M;296557;286399;363400;81.6;78.8
40-49;K;343445;338784;374813;91.6;90.4
40-49;M;335542;330486;375631;89.3;88.0
50-59;K;377510;374782;401620;94.0;93.3
50-59;M;378470;375436;405039;93.4;92.7
60-69;K;325540;324223;339492;95.9;95.5
60-69;M;316568;315164;330135;95.9;95.5
70-79;K;292675;291948;300905;97.3;97.0
70-79;M;262716;262061;269795;97.4;97.1
80-89;K;127742;127322;131836;96.9;96.6
80-89;M;92720;92434;95229;97.4;97.1
90+;K;25295;25119;26736;94.6;94.0
90+;M;10174;10122;10597;96.0;95.5
