"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;498815;474818;176274;77.3;73.6;27.3;645145
Frederiksberg;85544;81645;38748;82.4;78.7;37.3;103795
Ballerup;38171;36373;17080;77.6;73.9;34.7;49216
Brøndby;25271;24083;11365;70.9;67.5;31.9;35654
Dragør;11989;11366;6473;82.0;77.7;44.3;14625
Gentofte;61108;57635;33037;82.3;77.6;44.5;74231
Gladsaxe;54256;51305;24214;78.3;74.0;34.9;69298
Glostrup;17937;17083;8121;76.4;72.7;34.6;23493
Herlev;22200;21048;10452;76.9;72.9;36.2;28869
Albertslund;20151;18947;8694;73.1;68.7;31.5;27580
Hvidovre;40596;38400;18294;76.2;72.1;34.3;53283
Høje Tåstrup;38746;36630;16217;73.2;69.2;30.6;52930
Lyngby-Taarbæk;47732;45021;23491;82.4;77.7;40.6;57914
Rødovre;31379;29792;14475;75.8;71.9;35.0;41408
Ishøj;15850;14951;6817;68.3;64.4;29.4;23206
Tårnby;33549;31758;15310;78.5;74.3;35.8;42737
Vallensbæk;12299;11570;5630;74.6;70.2;34.1;16487
Furesø;33505;31500;16925;80.9;76.1;40.9;41413
Allerød;21633;20422;10427;83.6;78.9;40.3;25882
Fredensborg;32866;31245;16021;79.8;75.9;38.9;41172
Helsingør;50893;48631;25111;80.8;77.2;39.9;62970
Hillerød;43324;41078;18662;81.4;77.2;35.1;53234
Hørsholm;20835;19918;11558;84.1;80.4;46.7;24768
Rudersdal;47655;45049;25243;83.2;78.6;44.1;57287
Egedal;36289;34450;17130;81.8;77.6;38.6;44382
Frederikssund;37934;36334;18809;82.9;79.4;41.1;45780
Greve;40005;37989;19083;78.7;74.7;37.5;50828
Køge;49506;47342;21188;80.2;76.7;34.3;61750
Halsnæs;25587;24592;12915;81.6;78.5;41.2;31345
Roskilde;73727;70208;34073;82.4;78.5;38.1;89448
Solrød;19090;18176;8789;80.3;76.5;37.0;23773
Gribskov;33605;32303;16054;81.7;78.5;39.0;41140
Odsherred;27283;26337;12320;83.0;80.1;37.5;32875
Holbæk;59619;56836;25518;81.9;78.1;35.0;72816
Faxe;29831;28617;13034;80.3;77.0;35.1;37158
Kalundborg;39173;37527;16520;80.9;77.5;34.1;48427
Ringsted;27633;26220;10480;78.7;74.7;29.8;35112
Slagelse;63866;60823;27523;80.2;76.3;34.5;79681
Stevns;19112;18308;8374;81.4;78.0;35.7;23472
Sorø;24688;23490;10719;82.3;78.3;35.7;29989
Lejre;23329;22196;11275;81.6;77.6;39.4;28606
Lolland;32410;31091;16799;80.8;77.5;41.9;40125
Næstved;68064;64861;29927;81.3;77.4;35.7;83760
Guldborgsund;49088;47091;23627;81.4;78.1;39.2;60297
Vordingborg;36891;35489;17269;81.3;78.2;38.0;45396
Bornholm;33570;32107;18507;84.6;81.0;46.7;39661
Middelfart;33343;31539;15989;84.2;79.6;40.4;39602
Assens;34289;32717;14355;83.6;79.8;35.0;41013
Faaborg-Midtfyn;43316;41104;18211;83.5;79.3;35.1;51848
Kerteminde;20153;19255;9295;83.8;80.1;38.7;24047
Nyborg;26966;25717;10928;84.0;80.1;34.0;32108
Odense;168993;161313;61222;82.0;78.3;29.7;206068
Svendborg;49641;47101;20576;83.9;79.6;34.8;59183
Nordfyn;24450;23358;10389;82.2;78.5;34.9;29744
Langeland;10411;10062;5025;84.6;81.7;40.8;12311
Ærø;5201;5026;2793;86.3;83.4;46.4;6024
