"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;9;2;90743;0.0;0.0
0-2;M;1;0;95710;0.0;0.0
3-5;K;4847;1;91103;5.3;0.0
3-5;M;5309;3;96329;5.5;0.0
6-11;K;65789;301;179818;36.6;0.2
6-11;M;69567;326;189114;36.8;0.2
12-15;K;116274;108209;144394;80.5;74.9
12-15;M;122166;113614;152074;80.3;74.7
16-19;K;123173;119975;137132;89.8;87.5
16-19;M;125687;121626;142261;88.3;85.5
20-39;K;614511;591489;732713;83.9;80.7
20-39;M;619145;595319;761812;81.3;78.1
40-64;K;888964;880801;952496;93.3;92.5
40-64;M;879889;870927;954551;92.2;91.2
65-79;K;450206;448936;464334;97.0;96.7
65-79;M;413407;412220;426049;97.0;96.8
80+;K;153037;152441;158572;96.5;96.1
80+;M;102894;102556;105826;97.2;96.9
