"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;489221;466319;187105;82.7;78.8;31.6;591912
Midtjylland;1103449;1045158;471922;82.2;77.9;35.2;1342164
Syddanmark;1005601;954614;430392;81.9;77.7;35.0;1228537
Hovedstaden;1473289;1400054;642054;78.8;74.9;34.4;1868905
Sjælland;683315;652601;306518;81.0;77.4;36.3;843513
