"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90742;0.0;0.0
0-2;M;1;0;95710;0.0;0.0
3-5;K;4772;1;91028;5.2;0.0
3-5;M;5232;3;96252;5.4;0.0
6-11;K;65438;289;179467;36.5;0.2
6-11;M;69164;308;188711;36.7;0.2
12-15;K;104377;95988;132497;78.8;72.4
12-15;M;110115;101217;140023;78.6;72.3
16-19;K;120365;117212;134324;89.6;87.3
16-19;M;123881;119910;140455;88.2;85.4
20-39;K;614769;591680;732971;83.9;80.7
20-39;M;620445;596496;763112;81.3;78.2
40-64;K;882794;874604;946326;93.3;92.4
40-64;M;873138;864120;947800;92.1;91.2
65-79;K;456281;454983;470409;97.0;96.7
65-79;M;420666;419456;433308;97.1;96.8
80+;K;168006;167396;173541;96.8;96.5
80+;M;115423;115081;118355;97.5;97.2
