"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-12-20;Hovedstaden;K;759493;723413;346189;757946;723106;339020;1547;307;7169
2021-12-20;Hovedstaden;M;713796;676641;295865;712052;676333;288247;1744;308;7618
2021-12-20;Midtjylland;K;557478;529178;255623;556300;529007;248608;1178;171;7015
2021-12-20;Midtjylland;M;545971;515980;216299;544779;515789;207885;1192;191;8414
2021-12-20;Nordjylland;K;244733;233819;104086;244246;233478;98840;487;341;5246
2021-12-20;Nordjylland;M;244488;232500;83019;243986;232166;77803;502;334;5216
2021-12-20;Sjælland;K;346896;332071;166578;346251;331892;159749;645;179;6829
2021-12-20;Sjælland;M;336419;320530;139940;335785;320331;132521;634;199;7419
2021-12-20;Syddanmark;K;508210;483674;234311;507283;483370;226597;927;304;7714
2021-12-20;Syddanmark;M;497391;470940;196081;496485;470607;187348;906;333;8733
