Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   5.954 (48);   6.445 (52);  12.399
10-19;  14.691 (49);  15.366 (51);  30.057
20-29;  18.798 (52);  17.660 (48);  36.458
30-39;  13.418 (51);  12.647 (49);  26.065
40-49;  15.167 (54);  12.975 (46);  28.142
50-59;  14.524 (52);  13.285 (48);  27.809
60-69;   7.432 (49);   7.706 (51);  15.138
70-79;   4.697 (49);   4.829 (51);   9.526
80-89;   2.932 (58);   2.129 (42);   5.061
90+;   1.146 (71);     464 (29);   1.610
I alt;  98.759 (51);  93.506 (49); 192.265
