Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.379.132;  92.438;   5.525;   1.033
Sjælland; 552.140;  26.299;   1.873;     308
Syddanmark; 802.165;  24.473;   1.182;     148
Midtjylland; 904.241;  34.467;   1.674;     286
Nordjylland; 447.290;  12.933;     668;     132
I alt i Danmark;4.084.968; 190.610;  10.922;   1.907
