Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   1.193 (49);   1.230 (51);   2.423
10-19;   3.585 (49);   3.752 (51);   7.337
20-29;   5.047 (51);   4.827 (49);   9.874
30-39;   3.613 (51);   3.450 (49);   7.063
40-49;   4.069 (52);   3.721 (48);   7.790
50-59;   3.898 (52);   3.667 (48);   7.565
60-69;   1.929 (47);   2.138 (53);   4.067
70-79;   1.260 (48);   1.372 (52);   2.632
80-89;     769 (56);     607 (44);   1.376
90+;     289 (72);     114 (28);     403
I alt;  25.652 (51);  24.878 (49);  50.530
