"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
751;10-19;2401;2021-03-19
756;10-19;178;2021-03-19
760;10-19;147;2021-03-19
766;10-19;205;2021-03-19
773;10-19;58;2021-03-19
779;10-19;140;2021-03-19
787;10-19;152;2021-03-19
791;10-19;329;2021-03-19
810;10-19;141;2021-03-19
813;10-19;212;2021-03-19
820;10-19;107;2021-03-19
825;10-19;1;2021-03-19
840;10-19;127;2021-03-19
846;10-19;138;2021-03-19
849;10-19;148;2021-03-19
851;10-19;1039;2021-03-19
860;10-19;203;2021-03-19
;20-29;402;2021-03-19
011;20-29;98;2021-03-19
019;20-29;10;2021-03-19
101;20-29;12096;2021-03-19
147;20-29;1551;2021-03-19
151;20-29;412;2021-03-19
153;20-29;450;2021-03-19
155;20-29;60;2021-03-19
157;20-29;428;2021-03-19
159;20-29;667;2021-03-19
161;20-29;245;2021-03-19
163;20-29;269;2021-03-19
165;20-29;316;2021-03-19
167;20-29;543;2021-03-19
169;20-29;621;2021-03-19
173;20-29;401;2021-03-19
175;20-29;432;2021-03-19
183;20-29;368;2021-03-19
185;20-29;300;2021-03-19
187;20-29;172;2021-03-19
190;20-29;201;2021-03-19
201;20-29;88;2021-03-19
210;20-29;224;2021-03-19
217;20-29;356;2021-03-19
219;20-29;307;2021-03-19
223;20-29;71;2021-03-19
230;20-29;256;2021-03-19
240;20-29;195;2021-03-19
250;20-29;200;2021-03-19
253;20-29;367;2021-03-19
259;20-29;412;2021-03-19
260;20-29;107;2021-03-19
265;20-29;624;2021-03-19
269;20-29;120;2021-03-19
270;20-29;130;2021-03-19
306;20-29;85;2021-03-19
316;20-29;305;2021-03-19
320;20-29;142;2021-03-19
326;20-29;150;2021-03-19
329;20-29;217;2021-03-19
330;20-29;512;2021-03-19
336;20-29;74;2021-03-19
340;20-29;95;2021-03-19
350;20-29;100;2021-03-19
360;20-29;90;2021-03-19
370;20-29;405;2021-03-19
376;20-29;187;2021-03-19
390;20-29;119;2021-03-19
400;20-29;52;2021-03-19
410;20-29;78;2021-03-19
420;20-29;72;2021-03-19
430;20-29;120;2021-03-19
440;20-29;58;2021-03-19
450;20-29;89;2021-03-19
461;20-29;1935;2021-03-19
479;20-29;140;2021-03-19
480;20-29;72;2021-03-19
482;20-29;10;2021-03-19
492;20-29;4;2021-03-19
510;20-29;176;2021-03-19
530;20-29;72;2021-03-19
540;20-29;238;2021-03-19
550;20-29;81;2021-03-19
561;20-29;505;2021-03-19
563;20-29;2;2021-03-19
573;20-29;158;2021-03-19
575;20-29;128;2021-03-19
580;20-29;157;2021-03-19
607;20-29;183;2021-03-19
615;20-29;476;2021-03-19
621;20-29;469;2021-03-19
630;20-29;575;2021-03-19
657;20-29;308;2021-03-19
661;20-29;261;2021-03-19
665;20-29;44;2021-03-19
671;20-29;71;2021-03-19
706;20-29;80;2021-03-19
707;20-29;80;2021-03-19
710;20-29;121;2021-03-19
727;20-29;36;2021-03-19
730;20-29;419;2021-03-19
740;20-29;320;2021-03-19
741;20-29;4;2021-03-19
746;20-29;180;2021-03-19
751;20-29;4605;2021-03-19
756;20-29;126;2021-03-19
760;20-29;165;2021-03-19
766;20-29;141;2021-03-19
773;20-29;73;2021-03-19
779;20-29;127;2021-03-19
787;20-29;136;2021-03-19
791;20-29;230;2021-03-19
810;20-29;101;2021-03-19
813;20-29;155;2021-03-19
820;20-29;99;2021-03-19
825;20-29;3;2021-03-19
840;20-29;52;2021-03-19
846;20-29;132;2021-03-19
849;20-29;94;2021-03-19
851;20-29;1834;2021-03-19
860;20-29;152;2021-03-19
;30-39;352;2021-03-19
011;30-39;180;2021-03-19
012;30-39;1;2021-03-19
019;30-39;23;2021-03-19
101;30-39;7150;2021-03-19
