"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
173;90+;64;2021-03-19
175;90+;28;2021-03-19
183;90+;5;2021-03-19
185;90+;36;2021-03-19
187;90+;11;2021-03-19
190;90+;38;2021-03-19
201;90+;18;2021-03-19
210;90+;26;2021-03-19
217;90+;26;2021-03-19
219;90+;12;2021-03-19
223;90+;17;2021-03-19
230;90+;42;2021-03-19
240;90+;16;2021-03-19
250;90+;10;2021-03-19
253;90+;13;2021-03-19
259;90+;12;2021-03-19
260;90+;7;2021-03-19
265;90+;29;2021-03-19
269;90+;6;2021-03-19
270;90+;14;2021-03-19
306;90+;6;2021-03-19
316;90+;31;2021-03-19
320;90+;7;2021-03-19
326;90+;17;2021-03-19
329;90+;7;2021-03-19
330;90+;42;2021-03-19
336;90+;5;2021-03-19
340;90+;4;2021-03-19
350;90+;10;2021-03-19
360;90+;20;2021-03-19
370;90+;29;2021-03-19
376;90+;29;2021-03-19
390;90+;3;2021-03-19
400;90+;2;2021-03-19
410;90+;4;2021-03-19
420;90+;3;2021-03-19
430;90+;5;2021-03-19
440;90+;3;2021-03-19
450;90+;10;2021-03-19
461;90+;21;2021-03-19
479;90+;13;2021-03-19
480;90+;3;2021-03-19
492;90+;1;2021-03-19
510;90+;3;2021-03-19
530;90+;9;2021-03-19
540;90+;10;2021-03-19
550;90+;1;2021-03-19
561;90+;22;2021-03-19
573;90+;23;2021-03-19
575;90+;3;2021-03-19
580;90+;5;2021-03-19
607;90+;3;2021-03-19
615;90+;23;2021-03-19
621;90+;11;2021-03-19
630;90+;11;2021-03-19
657;90+;11;2021-03-19
661;90+;21;2021-03-19
665;90+;2;2021-03-19
671;90+;3;2021-03-19
706;90+;8;2021-03-19
707;90+;2;2021-03-19
710;90+;3;2021-03-19
727;90+;6;2021-03-19
730;90+;17;2021-03-19
740;90+;9;2021-03-19
741;90+;7;2021-03-19
746;90+;23;2021-03-19
751;90+;89;2021-03-19
756;90+;6;2021-03-19
760;90+;5;2021-03-19
766;90+;4;2021-03-19
773;90+;12;2021-03-19
779;90+;6;2021-03-19
787;90+;15;2021-03-19
791;90+;13;2021-03-19
810;90+;4;2021-03-19
813;90+;4;2021-03-19
820;90+;8;2021-03-19
840;90+;12;2021-03-19
846;90+;14;2021-03-19
849;90+;4;2021-03-19
851;90+;41;2021-03-19
860;90+;11;2021-03-19
