Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     383 (49);     401 (51);     784
10-19;     966 (51);     927 (49);   1.893
20-29;   1.992 (55);   1.639 (45);   3.631
30-39;   1.634 (54);   1.375 (46);   3.009
40-49;   1.872 (56);   1.456 (44);   3.328
50-59;   1.867 (56);   1.485 (44);   3.352
60-69;     956 (48);   1.026 (52);   1.982
70-79;     636 (46);     742 (54);   1.378
80-89;     527 (57);     400 (43);     927
90+;     208 (72);      79 (28);     287
I alt;  11.041 (54);   9.530 (46);  20.571
