Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.316.560;  72.295;   3.877;     627
Sjælland; 513.657;  19.106;   1.257;     181
Syddanmark; 741.079;  18.137;     796;      76
Midtjylland; 844.824;  26.467;   1.155;     158
Nordjylland; 427.593;   9.047;     440;      71
I alt i Danmark;3.843.713; 145.052;   7.525;   1.113
