Dato;Hovedstaden;Sjælland;Syddanmark;Midtjylland;Nordjylland;Total
2020-07-02; 2; 0; 1; 0; 1; 4
2020-07-03; 0; 0; 0; 1; 0; 1
2020-07-04; 0; 0; 0; 0; 0; 0
2020-07-05; 1; 0; 1; 0; 0; 2
2020-07-06; 1; 1; 0; 0; 0; 2
2020-07-07; 1; 0; 0; 0; 1; 2
2020-07-08; 0; 0; 0; 0; 1; 1
2020-07-09; 1; 1; 1; 0; 0; 3
2020-07-10; 1; 0; 0; 0; 2; 3
2020-07-11; 4; 0; 0; 0; 1; 5
2020-07-12; 0; 0; 0; 0; 0; 0
2020-07-13; 0; 0; 0; 0; 0; 0
2020-07-14; 2; 0; 0; 1; 0; 3
2020-07-15; 2; 1; 0; 0; 0; 3
2020-07-16; 1; 0; 0; 0; 0; 1
2020-07-17; 2; 1; 0; 0; 0; 3
2020-07-18; 2; 0; 0; 0; 0; 2
2020-07-19; 1; 1; 0; 0; 0; 2
2020-07-20; 2; 1; 0; 0; 0; 3
2020-07-21; 2; 0; 0; 0; 0; 2
2020-07-22; 3; 0; 0; 1; 0; 4
2020-07-23; 0; 0; 0; 0; 1; 1
2020-07-24; 0; 1; 1; 0; 0; 2
2020-07-25; 2; 2; 1; 0; 0; 5
2020-07-26; 1; 1; 0; 0; 0; 2
2020-07-27; 2; 1; 0; 0; 0; 3
2020-07-28; 1; 1; 0; 0; 0; 2
2020-07-29; 2; 2; 0; 2; 0; 6
