Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     214 (53);     190 (47);     404
10-19;     414 (55);     337 (45);     751
20-29;   1.209 (61);     784 (39);   1.993
30-39;   1.178 (59);     818 (41);   1.996
40-49;   1.406 (59);     964 (41);   2.370
50-59;   1.427 (59);   1.003 (41);   2.430
60-69;     764 (50);     764 (50);   1.528
70-79;     518 (46);     613 (54);   1.131
80-89;     487 (57);     365 (43);     852
90+;     196 (73);      74 (27);     270
I alt;   7.813 (57);   5.912 (43);  13.725
