Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     431 (49);     452 (51);     883
10-19;   1.178 (50);   1.158 (50);   2.336
20-29;   2.325 (54);   1.965 (46);   4.290
30-39;   1.823 (54);   1.556 (46);   3.379
40-49;   2.087 (56);   1.638 (44);   3.725
50-59;   2.066 (55);   1.696 (45);   3.762
60-69;   1.043 (48);   1.131 (52);   2.174
70-79;     688 (46);     810 (54);   1.498
80-89;     557 (57);     420 (43);     977
90+;     216 (72);      83 (28);     299
I alt;  12.414 (53);  10.909 (47);  23.323
