Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.571.829; 130.040;   7.417;   1.334
Sjælland; 658.471;  37.316;   2.563;     405
Syddanmark; 982.610;  38.893;   1.797;     220
Midtjylland;1.072.356;  47.930;   2.208;     354
Nordjylland; 499.760;  19.313;     948;     186
