Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.539.617; 117.225;   6.988;   1.318
Sjælland; 641.648;  33.685;   2.421;     402
Syddanmark; 958.081;  35.430;   1.703;     218
Midtjylland;1.044.802;  42.710;   2.051;     352
Nordjylland; 491.179;  16.719;     878;     183
I alt i Danmark;4.675.327; 245.769;  14.041;   2.473
