Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.587.485; 136.281;   7.631;   1.341
Sjælland; 665.378;  39.031;   2.632;     406
Syddanmark; 992.335;  40.622;   1.854;     222
Midtjylland;1.084.024;  50.842;   2.282;     358
Nordjylland; 504.253;  21.379;     999;     188
