Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.302.118;  69.294;   3.696;     598
Sjælland; 507.882;  18.143;   1.197;     171
Syddanmark; 731.603;  17.325;     768;      75
Midtjylland; 835.269;  25.549;   1.109;     155
Nordjylland; 424.374;   8.610;     415;      70
I alt i Danmark;3.801.246; 138.921;   7.185;   1.069
