"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;449660;397755;590858
Midtjylland;1004440;862148;1336966
Syddanmark;915059;783812;1225563
Hovedstaden;1337190;1201442;1858960
Sjælland;628147;576874;842378
