"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
København;448065;389113;70.1;60.8;639529
Frederiksberg;77971;69678;75.8;67.7;102882
Ballerup;35104;32162;71.5;65.5;49093
Brøndby;22981;21097;64.7;59.4;35502
Dragør;10905;10049;74.6;68.8;14610
Gentofte;55408;50801;74.6;68.4;74301
Gladsaxe;49153;44490;71.3;64.5;68930
Glostrup;16477;15008;70.0;63.8;23528
Herlev;20281;18413;70.3;63.9;28832
Albertslund;18017;16251;66.0;59.6;27281
Hvidovre;36878;33444;69.4;62.9;53165
Høje Tåstrup;34722;31503;66.1;60.0;52510
Lyngby-Taarbæk;43141;39445;75.6;69.1;57046
Rødovre;28394;25750;68.9;62.5;41206
Ishøj;13994;12648;60.8;54.9;23027
Tårnby;30464;27669;71.5;64.9;42633
Vallensbæk;11105;10147;67.2;61.4;16522
Furesø;30316;27802;73.4;67.3;41307
Allerød;19865;18299;76.7;70.6;25903
Fredensborg;30068;27644;73.3;67.4;41028
Helsingør;46962;42678;74.3;67.6;63175
Hillerød;39254;36339;74.9;69.4;52393
Hørsholm;19298;17986;77.9;72.6;24788
Rudersdal;43552;39885;76.1;69.7;57245
Egedal;33085;30244;74.9;68.5;44145
Frederikssund;35106;32614;76.6;71.2;45830
Greve;36210;33032;71.5;65.2;50639
Køge;45514;41531;73.8;67.3;61696
Halsnæs;23875;22339;75.9;71.0;31461
Roskilde;67430;60882;75.6;68.3;89139
Solrød;17334;15928;73.5;67.5;23596
Gribskov;31440;29451;76.2;71.3;41282
Odsherred;25641;24105;77.7;73.0;33006
Holbæk;54671;49930;75.3;68.8;72616
Faxe;27508;25556;74.2;69.0;37048
Kalundborg;36186;33312;74.7;68.8;48417
Ringsted;25205;23016;71.8;65.6;35085
Slagelse;58336;53334;73.3;67.0;79565
Stevns;17631;16396;75.7;70.4;23278
Sorø;22664;20740;75.5;69.1;30028
Lejre;21437;19808;74.9;69.2;28616
Lolland;30071;28206;74.6;70.0;40293
Næstved;62402;57004;74.7;68.2;83577
Guldborgsund;45603;42190;75.5;69.8;60403
Vordingborg;34304;31904;75.6;70.3;45376
Bornholm;31309;28493;78.7;71.6;39806
Middelfart;30386;27216;77.0;69.0;39468
Assens;31449;27517;76.9;67.3;40896
Faaborg-Midtfyn;39703;35243;76.6;68.0;51856
Kerteminde;18513;16522;77.2;68.9;23979
Nyborg;24632;21799;76.7;67.9;32108
Odense;152986;127383;74.7;62.2;204872
Svendborg;45174;40682;76.6;69.0;58965
Nordfyn;22303;19485;75.3;65.8;29630
Langeland;9806;8920;79.4;72.2;12354
Ærø;4956;4505;82.3;74.8;6023
Haderslev;40616;34203;73.3;61.8;55382
Billund;19950;17406;75.0;65.4;26600
Sønderborg;55800;47798;75.8;64.9;73662
Tønder;27099;22325;73.3;60.3;36995
Esbjerg;85926;71737;74.4;62.1;115470
Fanø;2728;2494;79.3;72.5;3440
Varde;37143;31831;74.7;64.0;49720
Vejen;31141;27150;72.8;63.5;42789
Aabenraa;42494;37011;72.7;63.3;58437
Fredericia;38246;34227;74.2;66.4;51554
Horsens;67598;60253;72.4;64.5;93350
Kolding;67669;56313;72.7;60.5;93114
Vejle;86339;72045;73.0;60.9;118249
Herning;66612;55092;74.7;61.8;89207
Holstebro;44149;36792;75.4;62.8;58582
Lemvig;15114;13065;77.9;67.3;19414
Struer;16125;13844;77.6;66.6;20775
Syddjurs;33505;29230;77.0;67.2;43507
Norddjurs;28649;25048;77.4;67.7;37007
Favrskov;36744;31654;75.4;65.0;48710
Odder;18033;16426;77.8;70.9;23164
Randers;74044;63419;75.1;64.3;98613
Silkeborg;71634;61528;74.1;63.6;96690
Samsø;3000;2842;80.2;76.0;3741
Skanderborg;47618;42868;74.4;67.0;63963
Århus;264779;220956;75.0;62.6;353212
Ikast-Brande;30538;25936;73.0;62.0;41811
Ringkøbing-Skjern;42228;36097;75.1;64.2;56245
Hedensted;35501;31929;75.4;67.8;47066
Morsø;15553;13896;77.5;69.2;20074
Skive;35170;31193;77.9;69.1;45142
Thisted;32973;29836;76.4;69.1;43158
Viborg;73399;63976;75.9;66.1;96767
Brønderslev;27114;23996;74.9;66.3;36198
Frederikshavn;45904;43063;77.9;73.1;58946
Vesthimmerland;27249;24833;74.9;68.3;36367
Læsø;1448;1419;80.8;79.1;1793
Rebild;22633;20130;73.9;65.8;30609
Mariagerfjord;31939;28546;76.8;68.7;41562
Jammerbugt;28907;26314;75.8;69.0;38128
Aalborg;166719;142374;75.8;64.7;220080
Hjørring;49221;43348;77.0;67.8;63943
