"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
Nordjylland;449660;397755;76.1;67.3;590858
Midtjylland;1004440;862148;75.1;64.5;1336966
Syddanmark;915059;783812;74.7;64.0;1225563
Hovedstaden;1337190;1201442;71.9;64.6;1858960
Sjælland;628147;576874;74.6;68.5;842378
