"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;16966;35
AstraZeneca Covid-19 vaccine;Midtjylland;33871;103
AstraZeneca Covid-19 vaccine;Syddanmark;30701;372
AstraZeneca Covid-19 vaccine;Hovedstaden;45889;636
AstraZeneca Covid-19 vaccine;Sjælland;23988;410
Janssen COVID-19 vaccine;Nordjylland;3654;3654
Janssen COVID-19 vaccine;Midtjylland;9907;9907
Janssen COVID-19 vaccine;Syddanmark;7536;7536
Janssen COVID-19 vaccine;Hovedstaden;22598;22598
Janssen COVID-19 vaccine;Sjælland;2783;2783
Moderna Covid-19 Vaccine;Nordjylland;68037;51096
Moderna Covid-19 Vaccine;Midtjylland;115767;78067
Moderna Covid-19 Vaccine;Syddanmark;125678;111826
Moderna Covid-19 Vaccine;Hovedstaden;136493;98804
Moderna Covid-19 Vaccine;Sjælland;79089;89704
Pfizer BioNTech Covid-19 vacc;Nordjylland;361003;342970
Pfizer BioNTech Covid-19 vacc;Midtjylland;844895;774071
Pfizer BioNTech Covid-19 vacc;Syddanmark;751144;664078
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1132210;1079404
Pfizer BioNTech Covid-19 vacc;Sjælland;522287;483977
