Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.268.532;  61.583;   3.285;     550
Sjælland; 492.422;  15.666;   1.073;     159
Syddanmark; 708.466;  15.272;     709;      72
Midtjylland; 809.722;  22.537;   1.013;     142
Nordjylland; 415.621;   7.589;     379;      68
I alt i Danmark;3.694.763; 122.647;   6.459;     991
