Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     214 (53);     190 (47);     404
10-19;     413 (55);     335 (45);     748
20-29;   1.201 (61);     771 (39);   1.972
30-39;   1.168 (59);     799 (41);   1.967
40-49;   1.398 (59);     956 (41);   2.354
50-59;   1.427 (59);     995 (41);   2.422
60-69;     761 (50);     760 (50);   1.521
70-79;     517 (46);     610 (54);   1.127
80-89;     485 (57);     364 (43);     849
90+;     196 (73);      74 (27);     270
I alt;   7.780 (57);   5.854 (43);  13.634
