Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.589.427; 136.661;   7.650;   1.342
Sjælland; 666.116;  39.129;   2.640;     406
Syddanmark; 993.409;  40.678;   1.855;     223
Midtjylland;1.085.260;  50.987;   2.283;     358
Nordjylland; 504.706;  21.472;   1.008;     189
