Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     294 (49);     306 (51);     600
10-19;     681 (51);     644 (49);   1.325
20-29;   1.594 (57);   1.225 (43);   2.819
30-39;   1.378 (55);   1.114 (45);   2.492
40-49;   1.598 (57);   1.199 (43);   2.797
50-59;   1.614 (56);   1.245 (44);   2.859
60-69;     824 (48);     895 (52);   1.719
70-79;     566 (46);     654 (54);   1.220
80-89;     498 (57);     378 (43);     876
90+;     201 (72);      77 (28);     278
I alt;   9.248 (54);   7.737 (46);  16.985
