Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     344 (49);     356 (51);     700
10-19;     824 (51);     789 (49);   1.613
20-29;   1.819 (55);   1.474 (45);   3.293
30-39;   1.538 (55);   1.269 (45);   2.807
40-49;   1.743 (57);   1.333 (43);   3.076
50-59;   1.750 (56);   1.352 (44);   3.102
60-69;     901 (48);     959 (52);   1.860
70-79;     596 (46);     700 (54);   1.296
80-89;     512 (57);     385 (43);     897
90+;     202 (72);      78 (28);     280
I alt;  10.229 (54);   8.695 (46);  18.924
