Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     216 (52);     198 (48);     414
10-19;     437 (55);     353 (45);     790
20-29;   1.244 (60);     833 (40);   2.077
30-39;   1.199 (58);     860 (42);   2.059
40-49;   1.424 (58);   1.013 (42);   2.437
50-59;   1.441 (58);   1.033 (42);   2.474
60-69;     768 (49);     784 (51);   1.552
70-79;     527 (46);     617 (54);   1.144
80-89;     487 (57);     369 (43);     856
90+;     196 (73);      74 (27);     270
I alt;   7.939 (56);   6.134 (44);  14.073
