Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     324 (49);     340 (51);     664
10-19;     760 (50);     745 (50);   1.505
20-29;   1.763 (55);   1.422 (45);   3.185
30-39;   1.493 (55);   1.229 (45);   2.722
40-49;   1.706 (57);   1.301 (43);   3.007
50-59;   1.705 (56);   1.319 (44);   3.024
60-69;     874 (48);     939 (52);   1.813
70-79;     587 (46);     680 (54);   1.267
80-89;     507 (57);     382 (43);     889
90+;     202 (72);      78 (28);     280
I alt;   9.921 (54);   8.435 (46);  18.356
