Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 166.347 (49); 176.343 (51); 342.690
10-19; 260.874 (50); 258.609 (50); 519.483
20-29; 255.362 (53); 227.762 (47); 483.124
30-39; 246.768 (53); 215.479 (47); 462.247
40-49; 244.077 (54); 210.083 (46); 454.160
50-59; 204.884 (53); 184.232 (47); 389.116
60-69; 127.132 (52); 116.513 (48); 243.645
70-79;  75.375 (50);  74.165 (50); 149.540
80-89;  27.562 (53);  24.431 (47);  51.993
90+;   8.025 (69);   3.589 (31);  11.614
I alt;1.616.406 (52);1.491.206 (48);3.107.612
