"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;62984;48695;300740;20.9;16.2
0-9;M;67156;51999;317587;21.1;16.4
10-19;K;282943;272727;346996;81.5;78.6
10-19;M;293412;282073;362578;80.9;77.8
20-29;K;321931;315844;381881;84.3;82.7
20-29;M;327914;320252;398627;82.3;80.3
30-39;K;302217;296986;351932;85.9;84.4
30-39;M;300167;294708;364294;82.4;80.9
40-49;K;344986;342418;375035;92.0;91.3
40-49;M;337233;334541;376098;89.7;89.0
50-59;K;378318;376734;401597;94.2;93.8
50-59;M;379380;377782;405029;93.7;93.3
60-69;K;325607;324808;339140;96.0;95.8
60-69;M;316543;315726;329427;96.1;95.8
70-79;K;291834;291405;299652;97.4;97.2
70-79;M;261399;261038;268034;97.5;97.4
80-89;K;126104;125837;129904;97.1;96.9
80-89;M;91015;90851;93313;97.5;97.4
90+;K;24078;23953;25353;95.0;94.5
90+;M;9601;9573;9971;96.3;96.0
