"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;17055;108
AstraZeneca Covid-19 vaccine;Midtjylland;34063;263
AstraZeneca Covid-19 vaccine;Syddanmark;30846;500
AstraZeneca Covid-19 vaccine;Hovedstaden;46565;1233
AstraZeneca Covid-19 vaccine;Sjælland;24042;479
Janssen COVID-19 vaccine;Nordjylland;3707;3707
Janssen COVID-19 vaccine;Midtjylland;9939;9939
Janssen COVID-19 vaccine;Syddanmark;7652;7652
Janssen COVID-19 vaccine;Hovedstaden;22889;22889
Janssen COVID-19 vaccine;Sjælland;2861;2861
Moderna Covid-19 Vaccine;Nordjylland;71506;70909
Moderna Covid-19 Vaccine;Midtjylland;127778;126659
Moderna Covid-19 Vaccine;Syddanmark;136330;163724
Moderna Covid-19 Vaccine;Hovedstaden;153452;151737
Moderna Covid-19 Vaccine;Sjælland;85382;106386
Pfizer BioNTech Covid-19 vacc;Nordjylland;407316;416350
Pfizer BioNTech Covid-19 vacc;Midtjylland;952096;968210
Pfizer BioNTech Covid-19 vacc;Syddanmark;849690;836086
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1278549;1294125
Pfizer BioNTech Covid-19 vacc;Sjælland;583104;574133
