"Regionsnavn";"Aldersgruppe";"sex";"Antal første vacc.";"Antal faerdigvacc."
Hovedstaden;0-9;K;17577;12910
Hovedstaden;0-9;M;18728;13765
Hovedstaden;10-19;K;75842;71977
Hovedstaden;10-19;M;78743;74570
Hovedstaden;20-29;K;121512;119199
Hovedstaden;20-29;M;114668;111899
Hovedstaden;30-39;K;111663;109551
Hovedstaden;30-39;M;109293;107182
Hovedstaden;40-49;K;110693;109615
Hovedstaden;40-49;M;107557;106507
Hovedstaden;50-59;K;113933;113318
Hovedstaden;50-59;M;112943;112293
Hovedstaden;60-69;K;90348;90076
Hovedstaden;60-69;M;85844;85543
Hovedstaden;70-79;K;83757;83570
Hovedstaden;70-79;M;70290;70159
Hovedstaden;80-89;K;39058;38955
Hovedstaden;80-89;M;26620;26562
Hovedstaden;90+;K;9050;9007
Hovedstaden;90+;M;3336;3326
Midtjylland;0-9;K;15439;12031
Midtjylland;0-9;M;16495;12881
Midtjylland;10-19;K;65484;63249
Midtjylland;10-19;M;67908;65398
Midtjylland;20-29;K;80664;79411
Midtjylland;20-29;M;82059;80424
Midtjylland;30-39;K;68142;67107
Midtjylland;30-39;M;69456;68360
Midtjylland;40-49;K;76225;75795
Midtjylland;40-49;M;75107;74608
Midtjylland;50-59;K;84466;84184
Midtjylland;50-59;M;85044;84768
Midtjylland;60-69;K;74983;74831
Midtjylland;60-69;M;73256;73111
Midtjylland;70-79;K;65475;65413
Midtjylland;70-79;M;61008;60951
Midtjylland;80-89;K;29911;29857
Midtjylland;80-89;M;23118;23086
Midtjylland;90+;K;6620;6595
Midtjylland;90+;M;3016;3011
Nordjylland;0-9;K;6305;4886
Nordjylland;0-9;M;6603;5077
Nordjylland;10-19;K;27102;26139
Nordjylland;10-19;M;28566;27440
Nordjylland;20-29;K;31873;31283
Nordjylland;20-29;M;35573;34722
Nordjylland;30-39;K;27783;27326
Nordjylland;30-39;M;28983;28440
Nordjylland;40-49;K;31826;31632
Nordjylland;40-49;M;31928;31705
Nordjylland;50-59;K;37983;37840
Nordjylland;50-59;M;38425;38265
Nordjylland;60-69;K;36214;36118
Nordjylland;60-69;M;35609;35530
Nordjylland;70-79;K;32278;32236
Nordjylland;70-79;M;30532;30490
Nordjylland;80-89;K;15153;15135
Nordjylland;80-89;M;11876;11856
Nordjylland;90+;K;3368;3356
Nordjylland;90+;M;1604;1598
Sjælland;0-9;K;7779;6053
Sjælland;0-9;M;8404;6567
Sjælland;10-19;K;38682;37245
Sjælland;10-19;M;41070;39489
Sjælland;20-29;K;30883;30159
Sjælland;20-29;M;33858;32946
Sjælland;30-39;K;36745;36001
Sjælland;30-39;M;35862;35120
Sjælland;40-49;K;49058;48660
Sjælland;40-49;M;46724;46329
Sjælland;50-59;K;59893;59621
Sjælland;50-59;M;60244;60009
Sjælland;60-69;K;53237;53103
Sjælland;60-69;M;51734;51589
Sjælland;70-79;K;50358;50275
Sjælland;70-79;M;45921;45858
Sjælland;80-89;K;21770;21720
Sjælland;80-89;M;16801;16779
Sjælland;90+;K;4422;4398
Sjælland;90+;M;1944;1938
Syddanmark;0-9;K;12911;10303
Syddanmark;0-9;M;13842;11087
Syddanmark;10-19;K;58459;56415
Syddanmark;10-19;M;60627;58444
Syddanmark;20-29;K;58083;56951
Syddanmark;20-29;M;62337;60853
Syddanmark;30-39;K;57233;56246
Syddanmark;30-39;M;57702;56619
Syddanmark;40-49;K;69277;68801
Syddanmark;40-49;M;67348;66776
Syddanmark;50-59;K;81626;81312
Syddanmark;50-59;M;82761;82448
Syddanmark;60-69;K;74408;74247
Syddanmark;60-69;M;73289;73117
Syddanmark;70-79;K;66141;66062
Syddanmark;70-79;M;61391;61314
Syddanmark;80-89;K;32193;32147
Syddanmark;80-89;M;24634;24601
Syddanmark;90+;K;7117;7086
Syddanmark;90+;M;3139;3133
