"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;499584;491074;378760;84.4;83.0;64.0;591686
Midtjylland;1123876;1105071;846347;83.7;82.3;63.0;1343245
Syddanmark;1024518;1007962;773153;83.4;82.0;62.9;1228723
Hovedstaden;1501455;1469984;1097685;80.3;78.6;58.7;1869803
Sjælland;695389;683859;528260;82.4;81.1;62.6;843731
