"Regionsnavn";"Aldersgruppe";"sex";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;0-9;K;18415;13553
Hovedstaden;0-9;M;19513;14405
Hovedstaden;10-19;K;81214;77486
Hovedstaden;10-19;M;83757;79651
Hovedstaden;20-29;K;122864;120506
Hovedstaden;20-29;M;116208;113426
Hovedstaden;30-39;K;110884;108836
Hovedstaden;30-39;M;108219;106153
Hovedstaden;40-49;K;112742;111663
Hovedstaden;40-49;M;109512;108478
Hovedstaden;50-59;K;113268;112674
Hovedstaden;50-59;M;112430;111798
Hovedstaden;60-69;K;88980;88707
Hovedstaden;60-69;M;84312;84017
Hovedstaden;70-79;K;82062;81889
Hovedstaden;70-79;M;68142;68016
Hovedstaden;80-89;K;35822;35721
Hovedstaden;80-89;M;23418;23359
Hovedstaden;90+;K;7182;7143
Hovedstaden;90+;M;2511;2503
Midtjylland;0-9;K;16240;12732
Midtjylland;0-9;M;17344;13607
Midtjylland;10-19;K;69788;67624
Midtjylland;10-19;M;71778;69353
Midtjylland;20-29;K;79915;78666
Midtjylland;20-29;M;81738;80094
Midtjylland;30-39;K;68397;67362
Midtjylland;30-39;M;69168;68098
Midtjylland;40-49;K;77859;77435
Midtjylland;40-49;M;76946;76460
Midtjylland;50-59;K;84504;84234
Midtjylland;50-59;M;84958;84683
Midtjylland;60-69;K;74427;74278
Midtjylland;60-69;M;72873;72732
Midtjylland;70-79;K;63735;63675
Midtjylland;70-79;M;58904;58848
Midtjylland;80-89;K;27319;27265
Midtjylland;80-89;M;20528;20497
Midtjylland;90+;K;5225;5202
Midtjylland;90+;M;2230;2226
Nordjylland;0-9;K;6622;5177
Nordjylland;0-9;M;6922;5354
Nordjylland;10-19;K;28882;27933
Nordjylland;10-19;M;30326;29217
Nordjylland;20-29;K;31587;30989
Nordjylland;20-29;M;35339;34500
Nordjylland;30-39;K;27945;27502
Nordjylland;30-39;M;28875;28333
Nordjylland;40-49;K;32464;32270
Nordjylland;40-49;M;32620;32396
Nordjylland;50-59;K;38485;38342
Nordjylland;50-59;M;38918;38768
Nordjylland;60-69;K;35819;35727
Nordjylland;60-69;M;35298;35220
Nordjylland;70-79;K;31597;31556
Nordjylland;70-79;M;29696;29656
Nordjylland;80-89;K;13866;13848
Nordjylland;80-89;M;10547;10527
Nordjylland;90+;K;2618;2607
Nordjylland;90+;M;1158;1152
Sjælland;0-9;K;8146;6365
Sjælland;0-9;M;8818;6908
Sjælland;10-19;K;40940;39543
Sjælland;10-19;M;43410;41872
Sjælland;20-29;K;30287;29554
Sjælland;20-29;M;33044;32127
Sjælland;30-39;K;37442;36700
Sjælland;30-39;M;36261;35538
Sjælland;40-49;K;50655;50266
Sjælland;40-49;M;48518;48130
Sjælland;50-59;K;60036;59767
Sjælland;50-59;M;60237;60004
Sjælland;60-69;K;52846;52712
Sjælland;60-69;M;51381;51241
Sjælland;70-79;K;49328;49252
Sjælland;70-79;M;44744;44682
Sjælland;80-89;K;19708;19660
Sjælland;80-89;M;14734;14713
Sjælland;90+;K;3439;3416
Sjælland;90+;M;1415;1409
Syddanmark;0-9;K;13561;10868
Syddanmark;0-9;M;14559;11725
Syddanmark;10-19;K;62119;60141
Syddanmark;10-19;M;64141;61980
Syddanmark;20-29;K;57278;56129
Syddanmark;20-29;M;61585;60105
Syddanmark;30-39;K;57549;56586
Syddanmark;30-39;M;57644;56586
Syddanmark;40-49;K;71266;70784
Syddanmark;40-49;M;69637;69077
Syddanmark;50-59;K;82025;81717
Syddanmark;50-59;M;82837;82529
Syddanmark;60-69;K;73535;73384
Syddanmark;60-69;M;72679;72516
Syddanmark;70-79;K;65112;65033
Syddanmark;70-79;M;59913;59836
Syddanmark;80-89;K;29389;29343
Syddanmark;80-89;M;21788;21755
Syddanmark;90+;K;5614;5585
Syddanmark;90+;M;2287;2283
