"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;60011;46183;297767;20.2;15.5
0-9;M;64072;49377;314503;20.4;15.7
10-19;K;265569;255025;329622;80.6;77.4
10-19;M;276914;265341;346080;80.0;76.7
20-29;K;323015;317003;382965;84.3;82.8
20-29;M;328495;320844;399208;82.3;80.4
30-39;K;301566;296231;351281;85.8;84.3
30-39;M;301296;295721;365423;82.5;80.9
40-49;K;337079;334503;367128;91.8;91.1
40-49;M;328664;325925;367529;89.4;88.7
50-59;K;377901;376275;401180;94.2;93.8
50-59;M;379417;377783;405066;93.7;93.3
60-69;K;329190;328375;342723;96.1;95.8
60-69;M;319732;318890;332616;96.1;95.9
70-79;K;298009;297556;305827;97.4;97.3
70-79;M;269142;268772;275777;97.6;97.5
80-89;K;138085;137814;141885;97.3;97.1
80-89;M;103049;102884;105347;97.8;97.7
90+;K;30577;30442;31852;96.0;95.6
90+;M;13039;13006;13409;97.2;97.0
