"Kommunenavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
København;508270;497323;645629
Frederiksberg;86738;85146;103685
Ballerup;39056;38214;49331
Brøndby;25874;25149;35780
Dragør;12246;11965;14577
Gentofte;62233;61024;74246
Gladsaxe;55537;54305;69281
Glostrup;18265;17847;23480
Herlev;22649;22089;28811
Albertslund;20637;20009;27613
Hvidovre;41510;40420;53202
Høje-Taastrup;39792;38813;53276
Lyngby-Taarbæk;48612;47561;57860
Rødovre;32159;31362;41476
Ishøj;16192;15692;23261
Tårnby;34271;33530;42736
Vallensbæk;12549;12237;16510
Furesø;34238;33531;41415
Allerød;22007;21633;25846
Fredensborg;33566;32948;41240
Helsingør;51707;50773;62865
Hillerød;44090;43310;53310
Hørsholm;21105;20754;24718
Rudersdal;48443;47540;57238
Egedal;36975;36334;44468
Frederikssund;38508;37847;45794
Greve;40780;39993;50874
Køge;50468;49498;61675
Frederiksværk-Hundested;25988;25491;31328
Roskilde;75115;73845;89589
Solrød;19497;19138;23820
Gribskov;34190;33628;41187
Odsherred;27648;27274;32827
Holbæk;60730;59746;72941
Faxe;30428;29892;37117
Kalundborg;39795;39168;48368
Ringsted;28225;27735;35216
Slagelse;65040;63861;79711
Stevns;19502;19165;23524
Sorø;25154;24799;29959
Lejre;23720;23357;28557
Lolland;32812;32321;40035
Næstved;69319;68231;83959
Guldborgsund;49723;49019;60278
Vordingborg;37433;36817;45281
Bornholm;34048;33509;39640
Middelfart;33915;33421;39626
Assens;34980;34434;40938
Faaborg-Midtfyn;44259;43539;51879
Kerteminde;20526;20179;24018
Nyborg;27519;27087;32080
Odense;172274;169205;206072
Svendborg;50587;49830;59212
Nordfyns;24982;24555;29731
Langeland;10569;10441;12308
Ærø;5270;5183;6019
Haderslev;45626;44879;55283
Billund;22193;21853;26693
Sønderborg;61652;60699;73721
Tønder;29950;29485;36804
Esbjerg;95744;94225;115460
Fanø;2966;2931;3419
Varde;41201;40498;49662
Vejen;34949;34335;42574
Aabenraa;47248;46580;58678
Fredericia;43110;42410;51641
Horsens;77117;75868;94725
Kolding;77022;75818;93634
Vejle;97976;96375;119271
Herning;74713;73513;89331
Holstebro;49463;48637;58564
Lemvig;16549;16347;19370
Struer;17861;17583;20782
Syddjurs;36954;36397;43688
Norddjurs;31281;30814;36913
Favrskov;41408;40708;48926
Odder;19997;19698;23363
Randers;82600;81248;99086
Silkeborg;81075;79668;97677
Samsø;3243;3211;3705
Skanderborg;53946;52918;64424
Århus;295911;290365;355528
Ikast-Brande;34374;33861;41929
Ringkøbing-Skjern;46929;46196;56210
Hedensted;39607;39083;47161
Morsø;17060;16757;20067
Skive;38784;38215;45030
Thisted;36353;35754;43080
Viborg;82064;80741;96833
Brønderslev-Dronninglund;30543;30010;36266
Frederikshavn;50171;49446;58824
Vesthimmerlands;30056;29575;36272
Læsø;1534;1518;1780
Rebild;25476;25009;30671
Mariagerfjord;35228;34564;41621
Jammerbugt;32315;31730;38155
Ålborg;186376;183065;221139
Hjørring;54472;53646;63811
