"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
00-02;K;7;2;90660;0.0;0.0
00-02;M;1;0;95645;0.0;0.0
03-05;K;7697;5358;91118;8.4;5.9
03-05;M;8370;5796;96369;8.7;6.0
06-11;K;89739;72549;178748;50.2;40.6
06-11;M;94692;76667;187898;50.4;40.8
12-15;K;106887;103550;132769;80.5;78.0
12-15;M;112745;109161;140273;80.4;77.8
16-19;K;121250;119749;134094;90.4;89.3
16-19;M;125178;123094;140398;89.2;87.7
20-39;K;624581;613234;734246;85.1;83.5
20-39;M;629791;616565;764631;82.4;80.6
40-64;K;884724;880049;945875;93.5;93.0
40-64;M;875281;870405;947394;92.4;91.9
65-79;K;457455;456660;470983;97.1;97.0
65-79;M;421674;420965;433594;97.3;97.1
80+;K;168662;168256;173737;97.1;96.8
80+;M;116088;115890;118756;97.8;97.6
