"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
00-02;K;8;2;90661;0.0;0.0
00-02;M;1;0;95645;0.0;0.0
03-05;K;9276;6498;92697;10.0;7.0
03-05;M;10097;7062;98096;10.3;7.2
06-11;K;92121;74929;181130;50.9;41.4
06-11;M;97176;79192;190382;51.0;41.6
12-15;K;120056;117040;145938;82.3;80.2
12-15;M;126111;122786;153639;82.1;79.9
16-19;K;124466;122953;137310;90.6;89.5
16-19;M;127183;125032;142403;89.3;87.8
20-39;K;624148;612830;733813;85.1;83.5
20-39;M;628081;614960;762921;82.3;80.6
40-64;K;891441;886820;952592;93.6;93.1
40-64;M;882612;877830;954725;92.4;91.9
65-79;K;449304;448545;462832;97.1;96.9
65-79;M;411943;411257;423863;97.2;97.0
80+;K;150182;149790;155257;96.7;96.5
80+;M;100616;100424;103284;97.4;97.2
