Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     171 (52);     156 (48);     327
10-19;     321 (54);     268 (46);     589
20-29;   1.060 (62);     657 (38);   1.717
30-39;   1.077 (61);     694 (39);   1.771
40-49;   1.276 (60);     850 (40);   2.126
50-59;   1.320 (60);     886 (40);   2.206
60-69;     702 (50);     707 (50);   1.409
70-79;     470 (45);     563 (55);   1.033
80-89;     467 (57);     349 (43);     816
90+;     184 (72);      72 (28);     256
I alt;   7.048 (58);   5.202 (42);  12.250
